File accession,Actual Age,Predicted Mean Age,Predicted Stddev,Model Type
ENCFF174WIT,-0.4712328767123288,1.2915394,0.61165047,simple_nn 16 5 0.0002 0.1 0.05
ENCFF179EUX,34.5,31.895603,1.2299569,simple_nn 16 5 0.0002 0.1 0.05
ENCFF181AEZ,51.5,40.272358,1.4241054,simple_nn 16 5 0.0002 0.1 0.05
ENCFF213MFU,59.5,57.945084,1.7572399,simple_nn 16 5 0.0002 0.1 0.05
ENCFF223UYF,3.5,31.53104,1.22049,simple_nn 16 5 0.0002 0.1 0.05
ENCFF239YLD,81.5,78.14504,2.2118745,simple_nn 16 5 0.0002 0.1 0.05
ENCFF276GHQ,37.5,46.33002,1.5280564,simple_nn 16 5 0.0002 0.1 0.05
ENCFF293EEX,75.5,78.091095,2.2109487,simple_nn 16 5 0.0002 0.1 0.05
ENCFF319QKM,54.5,55.38141,1.7101871,simple_nn 16 5 0.0002 0.1 0.05
ENCFF325EMH,30.5,38.03249,1.3947502,simple_nn 16 5 0.0002 0.1 0.05
ENCFF369HQZ,53.5,54.910023,1.6993517,simple_nn 16 5 0.0002 0.1 0.05
ENCFF382VGW,50.5,67.83261,2.0181258,simple_nn 16 5 0.0002 0.1 0.05
ENCFF390EQT,53.5,55.25411,1.7101867,simple_nn 16 5 0.0002 0.1 0.05
ENCFF390PEQ,-0.4383561643835616,9.556182,0.70456606,simple_nn 16 5 0.0002 0.1 0.05
ENCFF399ZRV,-0.5041095890410959,-0.30989444,0.6043715,simple_nn 16 5 0.0002 0.1 0.05
ENCFF407WJQ,30.5,33.79052,1.2755979,simple_nn 16 5 0.0002 0.1 0.05
ENCFF429BUT,37.5,41.716625,1.4529086,simple_nn 16 5 0.0002 0.1 0.05
ENCFF493PEV,51.5,40.39085,1.4328362,simple_nn 16 5 0.0002 0.1 0.05
ENCFF496XGS,37.5,39.07581,1.3992474,simple_nn 16 5 0.0002 0.1 0.05
ENCFF512NGG,59.5,51.442596,1.6108186,simple_nn 16 5 0.0002 0.1 0.05
ENCFF513LGT,-0.4602739726027397,0.7133509,0.6044003,simple_nn 16 5 0.0002 0.1 0.05
ENCFF518ZFC,3.5,3.3786674,0.6290238,simple_nn 16 5 0.0002 0.1 0.05
ENCFF529HKJ,53.5,53.80923,1.6769766,simple_nn 16 5 0.0002 0.1 0.05
ENCFF572USN,54.5,54.937454,1.7040668,simple_nn 16 5 0.0002 0.1 0.05
ENCFF605FYY,37.5,40.466846,1.428142,simple_nn 16 5 0.0002 0.1 0.05
ENCFF612UQT,73.5,51.471035,1.6602707,simple_nn 16 5 0.0002 0.1 0.05
ENCFF623BIK,53.5,53.360596,1.6481996,simple_nn 16 5 0.0002 0.1 0.05
ENCFF634XAS,41.5,53.048515,1.6473318,simple_nn 16 5 0.0002 0.1 0.05
ENCFF638QCI,60.5,36.487263,1.3609424,simple_nn 16 5 0.0002 0.1 0.05
ENCFF641PZC,60.5,44.05141,1.5111835,simple_nn 16 5 0.0002 0.1 0.05
ENCFF668IGA,53.5,54.094963,1.6664464,simple_nn 16 5 0.0002 0.1 0.05
ENCFF691SGO,3.5,25.069805,0.99316245,simple_nn 16 5 0.0002 0.1 0.05
ENCFF738BQB,60.5,35.455997,1.3310521,simple_nn 16 5 0.0002 0.1 0.05
ENCFF757YUP,37.5,42.90645,1.4813713,simple_nn 16 5 0.0002 0.1 0.05
ENCFF787NDZ,34.5,30.477825,1.1864445,simple_nn 16 5 0.0002 0.1 0.05
ENCFF793WOR,53.5,54.012646,1.6646549,simple_nn 16 5 0.0002 0.1 0.05
ENCFF811PYY,37.5,42.77734,1.4802458,simple_nn 16 5 0.0002 0.1 0.05
ENCFF828VTG,54.5,64.38286,1.9395766,simple_nn 16 5 0.0002 0.1 0.05
ENCFF829COF,54.5,56.221943,1.7243658,simple_nn 16 5 0.0002 0.1 0.05
ENCFF851AEJ,-0.4602739726027397,-1.838779,0.60549766,simple_nn 16 5 0.0002 0.1 0.05
ENCFF873PQO,60.5,35.94581,1.3455193,simple_nn 16 5 0.0002 0.1 0.05
ENCFF874RNA,-0.4602739726027397,-0.018698663,0.6042096,simple_nn 16 5 0.0002 0.1 0.05
