,Histone,Function,Scaler,Age Transform,Model,Mean MAE,Std MAE,Mean MSE,Std MSE,Mean R2,Std R2
20,H3K36me3,<function mean at 0x7f2a02fd0e60>,no,loglinear,elastic_net,6.038054149788003,2.162079313351511,184.62531928419048,78.86947626015686,0.6932859685031023,0.02068679030028179
21,H3K36me3,<function mean at 0x7f2a02fd0e60>,no,loglinear,svr,10.110301141681008,4.478922225882331,311.2797846109784,159.20821046645133,0.4975292835583647,0.11303586129754052
22,H3K36me3,<function mean at 0x7f2a02fd0e60>,no,loglinear,knn,7.1,2.823118842698619,283.889959166361,135.66923328485692,0.5341328518572986,0.08073288484558366
23,H3K36me3,<function mean at 0x7f2a02fd0e60>,no,loglinear,random_forest,4.759376360512382,1.658828140705744,164.23187039710143,76.91386263673718,0.7232900620541569,0.0976397917603519
24,H3K36me3,<function mean at 0x7f2a02fd0e60>,no,loglinear,gbr,3.8690666356365657,1.872551249114088,183.15726324717923,83.57730888216759,0.6948499533940398,0.051348340522339046
25,H3K36me3,<function mean at 0x7f2a02fd0e60>,standard,loglinear,elastic_net,5.320907404635694,1.9511930856732722,151.1255351941901,53.04048172977374,0.7324297352451941,0.08981578742502146
26,H3K36me3,<function mean at 0x7f2a02fd0e60>,standard,loglinear,svr,7.726929514177488,3.053068355313489,244.69795406386444,117.8860729564472,0.6023947297929251,0.0767738419482626
27,H3K36me3,<function mean at 0x7f2a02fd0e60>,standard,loglinear,knn,7.019876975711436,1.0778585364545428,209.0974525372253,73.31640292688446,0.6452435515523538,0.019879863017276355
28,H3K36me3,<function mean at 0x7f2a02fd0e60>,standard,loglinear,random_forest,4.749376360512382,1.6540047367901594,164.39219167222842,76.99897793458777,0.7229556948516953,0.09814382743880584
29,H3K36me3,<function mean at 0x7f2a02fd0e60>,standard,loglinear,gbr,3.8690666356365657,1.872551249114088,183.15726324717923,83.57730888216759,0.6948499533940398,0.051348340522339046
30,H3K36me3,<function mean at 0x7f2a02fd0e60>,robust,loglinear,elastic_net,5.983962652149952,1.3579137864121504,227.99134808475134,101.5173127131532,0.6012650706921286,0.16302821259659506
31,H3K36me3,<function mean at 0x7f2a02fd0e60>,robust,loglinear,svr,7.319903227641777,1.6168662811547252,244.8351534171235,109.14551661897828,0.5975632228187511,0.05778074114288684
32,H3K36me3,<function mean at 0x7f2a02fd0e60>,robust,loglinear,knn,6.907532707005494,1.8159578552460915,224.76143907278055,66.95493600778849,0.6044276116182914,0.07449653849437231
33,H3K36me3,<function mean at 0x7f2a02fd0e60>,robust,loglinear,random_forest,4.749376360512382,1.6540047367901594,164.39219167222842,76.99897793458777,0.7229556948516953,0.09814382743880584
34,H3K36me3,<function mean at 0x7f2a02fd0e60>,robust,loglinear,gbr,3.8690666356365657,1.872551249114088,183.15726324717923,83.57730888216759,0.6948499533940398,0.051348340522339046
35,H3K36me3,<function mean at 0x7f2a02fd0e60>,quantile,loglinear,elastic_net,6.4801655774805305,0.614011347009247,168.80498128072566,53.160253589309626,0.7086824237049456,0.053774072700227646
36,H3K36me3,<function mean at 0x7f2a02fd0e60>,quantile,loglinear,svr,10.02377091539967,3.8046509808334625,295.63073248568685,159.82196579749524,0.5274869304854872,0.12343808298347593
37,H3K36me3,<function mean at 0x7f2a02fd0e60>,quantile,loglinear,knn,7.712422100503947,2.6907005677724154,246.067004712111,101.53393198644771,0.5915132326615125,0.036436135973069425
38,H3K36me3,<function mean at 0x7f2a02fd0e60>,quantile,loglinear,random_forest,4.8558210085425735,1.416743179691344,163.6733590837491,77.10266884849273,0.7242439553816851,0.09882537763434786
39,H3K36me3,<function mean at 0x7f2a02fd0e60>,quantile,loglinear,gbr,3.810800582965839,1.9228116660227923,184.28530292012022,82.67680948724019,0.692153816114581,0.0493526005486977
