,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 1 0.0002 0.05 0.1,42.66657638549805,50.90424346923828,59.48072338104248,75.07043933868408,5.902087450027466,6.08966863155365
simple_nn 16 1 0.0002 0.1 0.01,30.13134527206421,40.39803981781006,51.183531761169434,79.85181427001953,5.396170139312744,6.200533747673035
simple_nn 16 1 0.0002 0.1 0.02,31.260271072387695,41.41183376312256,48.513522148132324,67.23419284820557,5.246370315551758,5.923437833786011
simple_nn 16 1 0.0002 0.1 0.05,33.73856019973755,40.82136249542236,58.772276878356934,71.94823265075684,5.724209904670715,6.0868366956710815
simple_nn 16 1 0.0002 0.1 0.1,49.86948108673096,56.75476837158203,58.86418342590332,74.35606956481934,5.814449667930603,6.273504972457886
simple_nn 16 1 0.0002 0.125 0.01,28.846184253692627,41.554914474487305,46.627015113830566,67.2256088256836,5.193164825439453,5.661256432533264
simple_nn 16 1 0.0002 0.125 0.02,35.417860984802246,41.749953269958496,48.53176403045654,65.90313053131104,5.35587477684021,5.549458265304565
simple_nn 16 1 0.0002 0.125 0.05,39.16660118103027,56.31621265411377,57.26666259765625,81.68876266479492,5.668165326118469,6.1915504932403564
simple_nn 16 1 0.0002 0.125 0.1,47.28997325897217,64.65418720245361,66.04186344146729,94.8031816482544,6.245401620864868,6.878652930259705
simple_nn 16 1 0.0003 0.0 0.01,18.377111673355103,25.681090831756592,31.444355487823486,71.77429008483887,4.253339529037476,5.905088782310486
simple_nn 16 1 0.0003 0.0 0.02,42.80017924308777,54.46214246749878,35.61491012573242,77.24315547943115,4.528193831443787,5.950353741645813
simple_nn 16 1 0.0003 0.0 0.05,20.776504039764404,24.28688621520996,38.96782207489014,71.9434175491333,4.837448358535767,5.977173924446106
simple_nn 16 1 0.0003 0.0 0.1,22.230372428894043,26.121071815490723,55.56790542602539,75.75063419342041,5.678951621055603,6.2927515506744385
simple_nn 16 1 0.0003 0.05 0.01,19.386241674423218,26.217611074447632,39.0727162361145,68.906494140625,4.76940643787384,5.794471621513367
simple_nn 16 1 0.0003 0.05 0.02,21.536325931549072,31.206149101257324,41.404008865356445,82.29675388336182,4.991022229194641,6.422004580497742
simple_nn 16 1 0.0003 0.05 0.05,41.953725814819336,48.70021677017212,49.00614261627197,79.53715133666992,5.300304651260376,6.370656847953796
simple_nn 16 1 0.0003 0.05 0.1,16.17610812187195,18.473809242248535,65.86970520019531,76.67766094207764,6.206465840339661,6.084070324897766
simple_nn 16 1 0.0003 0.1 0.01,16.21754741668701,20.014736652374268,50.917829513549805,66.93583297729492,5.321275115013123,5.679725408554077
simple_nn 16 1 0.0003 0.1 0.02,60.103261947631836,66.98504543304443,43.3908748626709,75.23889064788818,5.153894066810608,6.030345916748047
simple_nn 16 1 0.0003 0.1 0.05,21.77132272720337,23.399578094482422,60.5971040725708,71.51092624664307,5.892722129821777,6.219470262527466
simple_nn 16 1 0.0003 0.1 0.1,22.157081604003906,24.555360794067383,69.83117008209229,81.67564964294434,6.5204455852508545,6.478349685668945
simple_nn 16 1 0.0003 0.125 0.01,18.25836944580078,25.370788097381592,51.008602142333984,75.61301040649414,5.404911518096924,5.882812142372131
simple_nn 16 1 0.0003 0.125 0.02,37.6784782409668,43.9215669631958,56.3917236328125,75.63743591308594,5.739795565605164,6.015789151191711
simple_nn 16 1 0.0003 0.125 0.05,24.89992666244507,28.00814390182495,63.19831657409668,69.1532678604126,6.009690046310425,5.851284146308899
simple_nn 16 1 0.0003 0.125 0.1,36.6330623626709,38.99014472961426,67.37427043914795,84.81435585021973,6.1203014850616455,6.591622710227966
simple_nn 16 3 0.0001 0.0 0.01,105.31751537322998,148.91493225097656,26.529495239257812,77.90798950195312,3.8727309107780457,5.947802543640137
simple_nn 16 3 0.0001 0.0 0.02,93.83458805084229,124.55464935302734,19.998806715011597,66.41218376159668,3.3720826506614685,5.249653697013855
simple_nn 16 3 0.0001 0.0 0.05,128.59839820861816,154.10605430603027,26.872382402420044,62.501197814941406,4.091831266880035,5.854687690734863
simple_nn 16 3 0.0001 0.0 0.1,108.66329383850098,129.35540771484375,25.27104663848877,63.56729602813721,3.838493764400482,5.117846727371216
simple_nn 16 3 0.0001 0.05 0.01,140.6511688232422,165.71662521362305,51.07899856567383,92.10606002807617,5.549999833106995,6.6354615688323975
simple_nn 16 3 0.0001 0.05 0.02,105.96990394592285,122.2550277709961,40.23852062225342,77.66947937011719,4.84508740901947,5.9137245416641235
simple_nn 16 3 0.0001 0.05 0.05,231.87154960632324,227.70644760131836,41.672237396240234,67.559250831604,4.969201683998108,5.457143783569336
simple_nn 16 3 0.0001 0.05 0.1,337.29762840270996,382.5850410461426,54.70874786376953,79.92089366912842,5.74575412273407,6.1359663009643555
simple_nn 16 3 0.0001 0.1 0.01,70.81035900115967,95.43286228179932,41.724843978881836,71.55305242538452,4.981708765029907,5.597107231616974
simple_nn 16 3 0.0001 0.1 0.02,119.37696266174316,136.78145217895508,48.01478576660156,71.35594844818115,5.352524518966675,5.718850255012512
simple_nn 16 3 0.0001 0.1 0.05,106.12891960144043,127.29777526855469,50.64469623565674,84.2446870803833,5.604458570480347,5.80299711227417
simple_nn 16 3 0.0001 0.1 0.1,157.69152450561523,167.28478622436523,62.439324378967285,70.90955924987793,6.163355588912964,5.994664192199707
simple_nn 16 3 0.0001 0.125 0.01,97.6574935913086,105.4894027709961,53.052886962890625,76.00088596343994,5.586782932281494,5.844314098358154
simple_nn 16 3 0.0001 0.125 0.02,133.50951385498047,141.38196563720703,69.30158042907715,79.4691801071167,6.285919189453125,6.071825385093689
simple_nn 16 3 0.0001 0.125 0.05,121.5495491027832,131.61493301391602,55.22175312042236,75.63541221618652,5.661475419998169,5.981757402420044
simple_nn 16 3 0.0001 0.125 0.1,279.3481903076172,301.7516632080078,68.89426231384277,97.14506530761719,6.595686078071594,7.089882135391235
simple_nn 16 3 0.0002 0.0 0.01,34.180320739746094,54.21770477294922,13.752659320831299,62.089088439941406,2.76200670003891,4.9292672872543335
simple_nn 16 3 0.0002 0.0 0.02,80.13218593597412,99.4960994720459,27.312164306640625,71.32771110534668,3.9156442284584045,5.715468168258667
simple_nn 16 3 0.0002 0.0 0.05,227.90288066864014,261.0075263977051,27.83815860748291,71.34695529937744,4.062471628189087,5.580489277839661
simple_nn 16 3 0.0002 0.0 0.1,110.02078437805176,123.53082656860352,32.14974069595337,70.02359676361084,4.258112967014313,5.815899729728699
simple_nn 16 3 0.0002 0.05 0.01,62.0587215423584,72.73334312438965,38.583895683288574,64.11499500274658,4.734634280204773,5.42948305606842
simple_nn 16 3 0.0002 0.05 0.02,44.44198799133301,54.31108474731445,30.969903469085693,67.14221286773682,4.156120836734772,5.255221843719482
simple_nn 16 3 0.0002 0.05 0.05,70.87215423583984,81.1611213684082,42.27134323120117,67.4694471359253,4.866191387176514,5.77643358707428
simple_nn 16 3 0.0002 0.05 0.1,105.58853340148926,116.0581111907959,50.9390287399292,85.28275299072266,5.4844443798065186,6.349721193313599
simple_nn 16 3 0.0002 0.1 0.01,56.139241218566895,69.52950954437256,41.17174243927002,68.67350578308105,4.7981938123703,5.347537875175476
simple_nn 16 3 0.0002 0.1 0.02,75.40987300872803,80.8866376876831,48.79136848449707,71.79365348815918,5.339187979698181,5.749075531959534
